ID;RegioS;Perioden;GemiddeldeVerkoopprijs_1
0;NL01  ;1995JJ00;93750
1;NL01  ;1996JJ00;102607
2;NL01  ;1997JJ00;113163
3;NL01  ;1998JJ00;124540
4;NL01  ;1999JJ00;144778
5;NL01  ;2000JJ00;172050
6;NL01  ;2001JJ00;188397
7;NL01  ;2002JJ00;199752
8;NL01  ;2003JJ00;204829
9;NL01  ;2004JJ00;212723
10;NL01  ;2005JJ00;222706
11;NL01  ;2006JJ00;235843
12;NL01  ;2007JJ00;248325
13;NL01  ;2008JJ00;254918
14;NL01  ;2009JJ00;238259
15;NL01  ;2010JJ00;239530
16;NL01  ;2011JJ00;240059
17;NL01  ;2012JJ00;226661
18;NL01  ;2013JJ00;213353
19;NL01  ;2014JJ00;222218
20;NL01  ;2015JJ00;230194
21;NL01  ;2016JJ00;243837
22;NL01  ;2017JJ00;263295
23;NL01  ;2018JJ00;287267
24;NL01  ;2019JJ00;307978
25;NL01  ;2020JJ00;334488
26;NL01  ;2021JJ00;386714
27;NL01  ;2022JJ00;428591
28;LD01  ;1995JJ00;72907
29;LD01  ;1996JJ00;78744
30;LD01  ;1997JJ00;85644
31;LD01  ;1998JJ00;94150
32;LD01  ;1999JJ00;108234
33;LD01  ;2000JJ00;128028
34;LD01  ;2001JJ00;143439
35;LD01  ;2002JJ00;155884
36;LD01  ;2003JJ00;161238
37;LD01  ;2004JJ00;169464
38;LD01  ;2005JJ00;179297
39;LD01  ;2006JJ00;190778
40;LD01  ;2007JJ00;198867
41;LD01  ;2008JJ00;201895
42;LD01  ;2009JJ00;190861
43;LD01  ;2010JJ00;192257
44;LD01  ;2011JJ00;191274
45;LD01  ;2012JJ00;182010
46;LD01  ;2013JJ00;171395
47;LD01  ;2014JJ00;174682
48;LD01  ;2015JJ00;181842
49;LD01  ;2016JJ00;190935
50;LD01  ;2017JJ00;203310
51;LD01  ;2018JJ00;216465
52;LD01  ;2019JJ00;230412
53;LD01  ;2020JJ00;253843
54;LD01  ;2021JJ00;296338
55;LD01  ;2022JJ00;332306
56;LD02  ;1995JJ00;94927
57;LD02  ;1996JJ00;103429
58;LD02  ;1997JJ00;113675
59;LD02  ;1998JJ00;124735
60;LD02  ;1999JJ00;145248
61;LD02  ;2000JJ00;173955
62;LD02  ;2001JJ00;189176
63;LD02  ;2002JJ00;199201
64;LD02  ;2003JJ00;205324
65;LD02  ;2004JJ00;213368
66;LD02  ;2005JJ00;219537
67;LD02  ;2006JJ00;230546
68;LD02  ;2007JJ00;240869
69;LD02  ;2008JJ00;244668
70;LD02  ;2009JJ00;231152
71;LD02  ;2010JJ00;230439
72;LD02  ;2011JJ00;227931
73;LD02  ;2012JJ00;218053
74;LD02  ;2013JJ00;203120
75;LD02  ;2014JJ00;210182
76;LD02  ;2015JJ00;214439
77;LD02  ;2016JJ00;225260
78;LD02  ;2017JJ00;243068
79;LD02  ;2018JJ00;263244
80;LD02  ;2019JJ00;281575
81;LD02  ;2020JJ00;308009
82;LD02  ;2021JJ00;358936
83;LD02  ;2022JJ00;402744
84;LD03  ;1995JJ00;96079
85;LD03  ;1996JJ00;105359
86;LD03  ;1997JJ00;116500
87;LD03  ;1998JJ00;128373
88;LD03  ;1999JJ00;150549
89;LD03  ;2000JJ00;179105
90;LD03  ;2001JJ00;195339
91;LD03  ;2002JJ00;206232
92;LD03  ;2003JJ00;210867
93;LD03  ;2004JJ00;219236
94;LD03  ;2005JJ00;230694
95;LD03  ;2006JJ00;244866
96;LD03  ;2007JJ00;259586
97;LD03  ;2008JJ00;268223
98;LD03  ;2009JJ00;249839
99;LD03  ;2010JJ00;253528
100;LD03  ;2011JJ00;255658
101;LD03  ;2012JJ00;239438
102;LD03  ;2013JJ00;227547
103;LD03  ;2014JJ00;237708
104;LD03  ;2015JJ00;247357
105;LD03  ;2016JJ00;264412
106;LD03  ;2017JJ00;288951
107;LD03  ;2018JJ00;319865
108;LD03  ;2019JJ00;344342
109;LD03  ;2020JJ00;372321
110;LD03  ;2021JJ00;428808
111;LD03  ;2022JJ00;472910
112;LD04  ;1995JJ00;98449
113;LD04  ;1996JJ00;108736
114;LD04  ;1997JJ00;120263
115;LD04  ;1998JJ00;131659
116;LD04  ;1999JJ00;151525
117;LD04  ;2000JJ00;177334
118;LD04  ;2001JJ00;194657
119;LD04  ;2002JJ00;207466
120;LD04  ;2003JJ00;212591
121;LD04  ;2004JJ00;218459
122;LD04  ;2005JJ00;227997
123;LD04  ;2006JJ00;241691
124;LD04  ;2007JJ00;252153
125;LD04  ;2008JJ00;257694
126;LD04  ;2009JJ00;239440
127;LD04  ;2010JJ00;236634
128;LD04  ;2011JJ00;235888
129;LD04  ;2012JJ00;224385
130;LD04  ;2013JJ00;208246
131;LD04  ;2014JJ00;216276
132;LD04  ;2015JJ00;223102
133;LD04  ;2016JJ00;234546
134;LD04  ;2017JJ00;252518
135;LD04  ;2018JJ00;272998
136;LD04  ;2019JJ00;290853
137;LD04  ;2020JJ00;316642
138;LD04  ;2021JJ00;360562
139;LD04  ;2022JJ00;397814
140;PV20  ;1995JJ00;67913
141;PV20  ;1996JJ00;72509
142;PV20  ;1997JJ00;79297
143;PV20  ;1998JJ00;84559
144;PV20  ;1999JJ00;96075
145;PV20  ;2000JJ00;111768
146;PV20  ;2001JJ00;129222
147;PV20  ;2002JJ00;141432
148;PV20  ;2003JJ00;148159
149;PV20  ;2004JJ00;155116
150;PV20  ;2005JJ00;168081
151;PV20  ;2006JJ00;177983
152;PV20  ;2007JJ00;186935
153;PV20  ;2008JJ00;188062
154;PV20  ;2009JJ00;181358
155;PV20  ;2010JJ00;177940
156;PV20  ;2011JJ00;180603
157;PV20  ;2012JJ00;172575
158;PV20  ;2013JJ00;163505
159;PV20  ;2014JJ00;165832
160;PV20  ;2015JJ00;171679
161;PV20  ;2016JJ00;180595
162;PV20  ;2017JJ00;195057
163;PV20  ;2018JJ00;205000
164;PV20  ;2019JJ00;219283
165;PV20  ;2020JJ00;241080
166;PV20  ;2021JJ00;283578
167;PV20  ;2022JJ00;319184
168;PV21  ;1995JJ00;67992
169;PV21  ;1996JJ00;74361
170;PV21  ;1997JJ00;82212
171;PV21  ;1998JJ00;91036
172;PV21  ;1999JJ00;106520
173;PV21  ;2000JJ00;125834
174;PV21  ;2001JJ00;140906
175;PV21  ;2002JJ00;156299
176;PV21  ;2003JJ00;161157
177;PV21  ;2004JJ00;172671
178;PV21  ;2005JJ00;178770
179;PV21  ;2006JJ00;190517
180;PV21  ;2007JJ00;197251
181;PV21  ;2008JJ00;203889
182;PV21  ;2009JJ00;193069
183;PV21  ;2010JJ00;195349
184;PV21  ;2011JJ00;191714
185;PV21  ;2012JJ00;180784
186;PV21  ;2013JJ00;169899
187;PV21  ;2014JJ00;174240
188;PV21  ;2015JJ00;180461
189;PV21  ;2016JJ00;187950
190;PV21  ;2017JJ00;201430
191;PV21  ;2018JJ00;216116
192;PV21  ;2019JJ00;230643
193;PV21  ;2020JJ00;254223
194;PV21  ;2021JJ00;290253
195;PV21  ;2022JJ00;325113
196;PV22  ;1995JJ00;84984
197;PV22  ;1996JJ00;91422
198;PV22  ;1997JJ00;95585
199;PV22  ;1998JJ00;107476
200;PV22  ;1999JJ00;124071
201;PV22  ;2000JJ00;147524
202;PV22  ;2001JJ00;162681
203;PV22  ;2002JJ00;171613
204;PV22  ;2003JJ00;176452
205;PV22  ;2004JJ00;182054
206;PV22  ;2005JJ00;192449
207;PV22  ;2006JJ00;205685
208;PV22  ;2007JJ00;215473
209;PV22  ;2008JJ00;214763
210;PV22  ;2009JJ00;199306
211;PV22  ;2010JJ00;205264
212;PV22  ;2011JJ00;203389
213;PV22  ;2012JJ00;193844
214;PV22  ;2013JJ00;181850
215;PV22  ;2014JJ00;185239
216;PV22  ;2015JJ00;194566
217;PV22  ;2016JJ00;205504
218;PV22  ;2017JJ00;213562
219;PV22  ;2018JJ00;228433
220;PV22  ;2019JJ00;241941
221;PV22  ;2020JJ00;266616
222;PV22  ;2021JJ00;316653
223;PV22  ;2022JJ00;355510
224;PV23  ;1995JJ00;83597
225;PV23  ;1996JJ00;90786
226;PV23  ;1997JJ00;102179
227;PV23  ;1998JJ00;110332
228;PV23  ;1999JJ00;128295
229;PV23  ;2000JJ00;152617
230;PV23  ;2001JJ00;170174
231;PV23  ;2002JJ00;178482
232;PV23  ;2003JJ00;185090
233;PV23  ;2004JJ00;191927
234;PV23  ;2005JJ00;198475
235;PV23  ;2006JJ00;206909
236;PV23  ;2007JJ00;215724
237;PV23  ;2008JJ00;219612
