ID;RegioS;Perioden;GemiddeldeVerkoopprijs_1
140;PV20  ;1995JJ00;67913
141;PV20  ;1996JJ00;72509
142;PV20  ;1997JJ00;79297
143;PV20  ;1998JJ00;84559
144;PV20  ;1999JJ00;96075
145;PV20  ;2000JJ00;111768
146;PV20  ;2001JJ00;129222
147;PV20  ;2002JJ00;141432
148;PV20  ;2003JJ00;148159
149;PV20  ;2004JJ00;155116
150;PV20  ;2005JJ00;168081
151;PV20  ;2006JJ00;177983
152;PV20  ;2007JJ00;186935
153;PV20  ;2008JJ00;188062
154;PV20  ;2009JJ00;181358
155;PV20  ;2010JJ00;177940
156;PV20  ;2011JJ00;180603
157;PV20  ;2012JJ00;172575
158;PV20  ;2013JJ00;163505
159;PV20  ;2014JJ00;165832
160;PV20  ;2015JJ00;171679
161;PV20  ;2016JJ00;180595
162;PV20  ;2017JJ00;195057
163;PV20  ;2018JJ00;205000
164;PV20  ;2019JJ00;219283
165;PV20  ;2020JJ00;241080
166;PV20  ;2021JJ00;283578
167;PV20  ;2022JJ00;319184
168;PV21  ;1995JJ00;67992
169;PV21  ;1996JJ00;74361
170;PV21  ;1997JJ00;82212
171;PV21  ;1998JJ00;91036
172;PV21  ;1999JJ00;106520
173;PV21  ;2000JJ00;125834
174;PV21  ;2001JJ00;140906
175;PV21  ;2002JJ00;156299
176;PV21  ;2003JJ00;161157
177;PV21  ;2004JJ00;172671
178;PV21  ;2005JJ00;178770
179;PV21  ;2006JJ00;190517
180;PV21  ;2007JJ00;197251
181;PV21  ;2008JJ00;203889
182;PV21  ;2009JJ00;193069
183;PV21  ;2010JJ00;195349
184;PV21  ;2011JJ00;191714
185;PV21  ;2012JJ00;180784
186;PV21  ;2013JJ00;169899
187;PV21  ;2014JJ00;174240
188;PV21  ;2015JJ00;180461
189;PV21  ;2016JJ00;187950
190;PV21  ;2017JJ00;201430
191;PV21  ;2018JJ00;216116
192;PV21  ;2019JJ00;230643
193;PV21  ;2020JJ00;254223
194;PV21  ;2021JJ00;290253
195;PV21  ;2022JJ00;325113
196;PV22  ;1995JJ00;84984
197;PV22  ;1996JJ00;91422
198;PV22  ;1997JJ00;95585
199;PV22  ;1998JJ00;107476
200;PV22  ;1999JJ00;124071
201;PV22  ;2000JJ00;147524
202;PV22  ;2001JJ00;162681
203;PV22  ;2002JJ00;171613
204;PV22  ;2003JJ00;176452
205;PV22  ;2004JJ00;182054
206;PV22  ;2005JJ00;192449
207;PV22  ;2006JJ00;205685
208;PV22  ;2007JJ00;215473
209;PV22  ;2008JJ00;214763
210;PV22  ;2009JJ00;199306
211;PV22  ;2010JJ00;205264
212;PV22  ;2011JJ00;203389
213;PV22  ;2012JJ00;193844
214;PV22  ;2013JJ00;181850
215;PV22  ;2014JJ00;185239
216;PV22  ;2015JJ00;194566
217;PV22  ;2016JJ00;205504
218;PV22  ;2017JJ00;213562
219;PV22  ;2018JJ00;228433
220;PV22  ;2019JJ00;241941
221;PV22  ;2020JJ00;266616
222;PV22  ;2021JJ00;316653
223;PV22  ;2022JJ00;355510
224;PV23  ;1995JJ00;83597
225;PV23  ;1996JJ00;90786
226;PV23  ;1997JJ00;102179
227;PV23  ;1998JJ00;110332
228;PV23  ;1999JJ00;128295
229;PV23  ;2000JJ00;152617
230;PV23  ;2001JJ00;170174
231;PV23  ;2002JJ00;178482
232;PV23  ;2003JJ00;185090
233;PV23  ;2004JJ00;191927
234;PV23  ;2005JJ00;198475
235;PV23  ;2006JJ00;206909
236;PV23  ;2007JJ00;215724
237;PV23  ;2008JJ00;219612
238;PV23  ;2009JJ00;212375
239;PV23  ;2010JJ00;211088
240;PV23  ;2011JJ00;208185
241;PV23  ;2012JJ00;202549
242;PV23  ;2013JJ00;189733
243;PV23  ;2014JJ00;197070
244;PV23  ;2015JJ00;198713
245;PV23  ;2016JJ00;210683
246;PV23  ;2017JJ00;227193
247;PV23  ;2018JJ00;244270
248;PV23  ;2019JJ00;260130
249;PV23  ;2020JJ00;282983
250;PV23  ;2021JJ00;325701
251;PV23  ;2022JJ00;365460
252;PV24  ;1995JJ00;91262
253;PV24  ;1996JJ00;97970
254;PV24  ;1997JJ00;99788
255;PV24  ;1998JJ00;108375
256;PV24  ;1999JJ00;123189
257;PV24  ;2000JJ00;155987
258;PV24  ;2001JJ00;161364
259;PV24  ;2002JJ00;179349
260;PV24  ;2003JJ00;188406
261;PV24  ;2004JJ00;191995
262;PV24  ;2005JJ00;196149
263;PV24  ;2006JJ00;206641
264;PV24  ;2007JJ00;212973
265;PV24  ;2008JJ00;219260
266;PV24  ;2009JJ00;205904
267;PV24  ;2010JJ00;206530
268;PV24  ;2011JJ00;199148
269;PV24  ;2012JJ00;189322
270;PV24  ;2013JJ00;178294
271;PV24  ;2014JJ00;188445
272;PV24  ;2015JJ00;194188
273;PV24  ;2016JJ00;204317
274;PV24  ;2017JJ00;226753
275;PV24  ;2018JJ00;253875
276;PV24  ;2019JJ00;269589
277;PV24  ;2020JJ00;301754
278;PV24  ;2021JJ00;351576
279;PV24  ;2022JJ00;405900
280;PV25  ;1995JJ00;101759
281;PV25  ;1996JJ00;112124
282;PV25  ;1997JJ00;123558
283;PV25  ;1998JJ00;138226
284;PV25  ;1999JJ00;161724
285;PV25  ;2000JJ00;190676
286;PV25  ;2001JJ00;208459
287;PV25  ;2002JJ00;216950
288;PV25  ;2003JJ00;221397
289;PV25  ;2004JJ00;230637
290;PV25  ;2005JJ00;236534
291;PV25  ;2006JJ00;248968
292;PV25  ;2007JJ00;261513
293;PV25  ;2008JJ00;264983
294;PV25  ;2009JJ00;247406
295;PV25  ;2010JJ00;245990
296;PV25  ;2011JJ00;245088
297;PV25  ;2012JJ00;233365
298;PV25  ;2013JJ00;215875
299;PV25  ;2014JJ00;221921
300;PV25  ;2015JJ00;227324
301;PV25  ;2016JJ00;237769
302;PV25  ;2017JJ00;255392
303;PV25  ;2018JJ00;275915
304;PV25  ;2019JJ00;296243
305;PV25  ;2020JJ00;323723
306;PV25  ;2021JJ00;379346
307;PV25  ;2022JJ00;422110
308;PV26  ;1995JJ00;109909
309;PV26  ;1996JJ00;118383
310;PV26  ;1997JJ00;135128
311;PV26  ;1998JJ00;150746
312;PV26  ;1999JJ00;179524
