"ID";"Bestedingscategorieen";"Perioden";"CPI_1";"CPIAfgeleid_2";"MaandmutatieCPI_3";"MaandmutatieCPIAfgeleid_4";"JaarmutatieCPI_5";"JaarmutatieCPIAfgeleid_6";"Wegingscoefficient_7"
"37544";"CPI040000";"1996MM01";"   55.23";"   60.62";"";"";"";"";"   27823"
"37545";"CPI040000";"1996MM02";"   55.24";"   60.62";"     0.0";"     0.0";"";"";"   27823"
"37546";"CPI040000";"1996MM03";"   55.23";"   60.61";"     0.0";"     0.0";"";"";"   27823"
"37547";"CPI040000";"1996MM04";"   55.24";"   60.62";"     0.0";"     0.0";"";"";"   27823"
"37548";"CPI040000";"1996MM05";"   55.23";"   60.60";"     0.0";"     0.0";"";"";"   27823"
"37549";"CPI040000";"1996MM06";"   55.24";"   60.62";"     0.0";"     0.0";"";"";"   27823"
"37550";"CPI040000";"1996MM07";"   57.09";"   62.65";"     3.3";"     3.3";"";"";"   27823"
"37551";"CPI040000";"1996MM08";"   57.09";"   62.65";"     0.0";"     0.0";"";"";"   27823"
"37552";"CPI040000";"1996MM09";"   57.10";"   62.67";"     0.0";"     0.0";"";"";"   27823"
"37553";"CPI040000";"1996MM10";"   57.10";"   62.67";"     0.0";"     0.0";"";"";"   27823"
"37554";"CPI040000";"1996MM11";"   57.11";"   62.68";"     0.0";"     0.0";"";"";"   27823"
"37555";"CPI040000";"1996MM12";"   57.11";"   62.68";"     0.0";"     0.0";"";"";"   27823"
"37556";"CPI040000";"1996JJ00";"   56.17";"   61.64";"";"";"";"";"   27823"
"37557";"CPI040000";"1997MM01";"   57.74";"   63.09";"     1.1";"     0.7";"     4.5";"     4.1";"   27823"
"37558";"CPI040000";"1997MM02";"   57.74";"   63.09";"     0.0";"     0.0";"     4.5";"     4.1";"   27823"
"37559";"CPI040000";"1997MM03";"   57.76";"   63.11";"     0.0";"     0.0";"     4.6";"     4.1";"   27823"
"37560";"CPI040000";"1997MM04";"   57.77";"   63.11";"     0.0";"     0.0";"     4.6";"     4.1";"   27823"
"37561";"CPI040000";"1997MM05";"   57.82";"   63.18";"     0.1";"     0.1";"     4.7";"     4.3";"   27823"
"37562";"CPI040000";"1997MM06";"   57.83";"   63.19";"     0.0";"     0.0";"     4.7";"     4.2";"   27823"
"37563";"CPI040000";"1997MM07";"   59.63";"   65.17";"     3.1";"     3.1";"     4.4";"     4.0";"   27823"
"37564";"CPI040000";"1997MM08";"   59.63";"   65.18";"     0.0";"     0.0";"     4.4";"     4.0";"   27823"
"37565";"CPI040000";"1997MM09";"   59.66";"   65.21";"     0.1";"     0.0";"     4.5";"     4.1";"   27823"
"37566";"CPI040000";"1997MM10";"   59.67";"   65.22";"     0.0";"     0.0";"     4.5";"     4.1";"   27823"
"37567";"CPI040000";"1997MM11";"   59.66";"   65.20";"     0.0";"     0.0";"     4.5";"     4.0";"   27823"
"37568";"CPI040000";"1997MM12";"   59.66";"   65.21";"     0.0";"     0.0";"     4.5";"     4.0";"   27823"
"37569";"CPI040000";"1997JJ00";"   58.71";"   64.16";"";"";"     4.5";"     4.1";"   27823"
"37570";"CPI040000";"1998MM01";"   59.98";"   65.18";"     0.5";"     0.0";"     3.9";"     3.3";"   27823"
"37571";"CPI040000";"1998MM02";"   59.98";"   65.18";"     0.0";"     0.0";"     3.9";"     3.3";"   27823"
"37572";"CPI040000";"1998MM03";"   60.01";"   65.21";"     0.1";"     0.0";"     3.9";"     3.3";"   27823"
"37573";"CPI040000";"1998MM04";"   60.02";"   65.23";"     0.0";"     0.0";"     3.9";"     3.4";"   27823"
"37574";"CPI040000";"1998MM05";"   60.03";"   65.23";"     0.0";"     0.0";"     3.8";"     3.2";"   27823"
"37575";"CPI040000";"1998MM06";"   60.03";"   65.24";"     0.0";"     0.0";"     3.8";"     3.2";"   27823"
"37576";"CPI040000";"1998MM07";"   61.23";"   66.54";"     2.0";"     2.0";"     2.7";"     2.1";"   27823"
"37577";"CPI040000";"1998MM08";"   61.24";"   66.55";"     0.0";"     0.0";"     2.7";"     2.1";"   27823"
"37578";"CPI040000";"1998MM09";"   61.24";"   66.55";"     0.0";"     0.0";"     2.6";"     2.1";"   27823"
"37579";"CPI040000";"1998MM10";"   61.27";"   66.58";"     0.0";"     0.0";"     2.7";"     2.1";"   27823"
"37580";"CPI040000";"1998MM11";"   61.27";"   66.59";"     0.0";"     0.0";"     2.7";"     2.1";"   27823"
"37581";"CPI040000";"1998MM12";"   61.27";"   66.59";"     0.0";"     0.0";"     2.7";"     2.1";"   27823"
"37582";"CPI040000";"1998JJ00";"   60.63";"   65.89";"";"";"     3.3";"     2.7";"   27823"
"37583";"CPI040000";"1999MM01";"   61.92";"   66.34";"     1.1";"    -0.4";"     3.2";"     1.8";"   27823"
"37584";"CPI040000";"1999MM02";"   61.93";"   66.35";"     0.0";"     0.0";"     3.3";"     1.8";"   27823"
"37585";"CPI040000";"1999MM03";"   61.93";"   66.35";"     0.0";"     0.0";"     3.2";"     1.7";"   27823"
"37586";"CPI040000";"1999MM04";"   61.90";"   66.31";"     0.0";"    -0.1";"     3.1";"     1.7";"   27823"
"37587";"CPI040000";"1999MM05";"   61.91";"   66.33";"     0.0";"     0.0";"     3.1";"     1.7";"   27823"
"37588";"CPI040000";"1999MM06";"   61.92";"   66.34";"     0.0";"     0.0";"     3.1";"     1.7";"   27823"
"37589";"CPI040000";"1999MM07";"   63.07";"   67.59";"     1.9";"     1.9";"     3.0";"     1.6";"   27823"
"37590";"CPI040000";"1999MM08";"   63.07";"   67.59";"     0.0";"     0.0";"     3.0";"     1.6";"   27823"
"37591";"CPI040000";"1999MM09";"   63.07";"   67.59";"     0.0";"     0.0";"     3.0";"     1.6";"   27823"
"37592";"CPI040000";"1999MM10";"   63.09";"   67.61";"     0.0";"     0.0";"     3.0";"     1.5";"   27823"
"37593";"CPI040000";"1999MM11";"   63.12";"   67.65";"     0.0";"     0.1";"     3.0";"     1.6";"   27823"
"37594";"CPI040000";"1999MM12";"   63.12";"   67.64";"     0.0";"     0.0";"     3.0";"     1.6";"   27823"
"37595";"CPI040000";"1999JJ00";"   62.50";"   66.97";"";"";"     3.1";"     1.6";"   27823"
"37596";"CPI040000";"2000MM01";"   64.32";"   68.20";"     1.9";"     0.8";"     3.9";"     2.8";"   22601"
"37597";"CPI040000";"2000MM02";"   64.34";"   68.22";"     0.0";"     0.0";"     3.9";"     2.8";"   22601"
"37598";"CPI040000";"2000MM03";"   64.45";"   68.34";"     0.2";"     0.2";"     4.1";"     3.0";"   22601"
"37599";"CPI040000";"2000MM04";"   64.47";"   68.36";"     0.0";"     0.0";"     4.2";"     3.1";"   22601"
"37600";"CPI040000";"2000MM05";"   64.47";"   68.36";"     0.0";"     0.0";"     4.1";"     3.1";"   22601"
"37601";"CPI040000";"2000MM06";"   64.48";"   68.37";"     0.0";"     0.0";"     4.1";"     3.1";"   22601"
"37602";"CPI040000";"2000MM07";"   66.01";"   70.00";"     2.4";"     2.4";"     4.7";"     3.6";"   22601"
"37603";"CPI040000";"2000MM08";"   66.03";"   70.01";"     0.0";"     0.0";"     4.7";"     3.6";"   22601"
"37604";"CPI040000";"2000MM09";"   66.06";"   70.04";"     0.0";"     0.0";"     4.7";"     3.6";"   22601"
"37605";"CPI040000";"2000MM10";"   66.14";"   70.13";"     0.1";"     0.1";"     4.8";"     3.7";"   22601"
"37606";"CPI040000";"2000MM11";"   66.18";"   70.17";"     0.1";"     0.1";"     4.8";"     3.7";"   22601"
"37607";"CPI040000";"2000MM12";"   66.18";"   70.18";"     0.0";"     0.0";"     4.8";"     3.8";"   22601"
"37608";"CPI040000";"2000JJ00";"   65.26";"   69.20";"";"";"     4.4";"     3.3";"   22601"
"37609";"CPI040000";"2001MM01";"   67.83";"   70.62";"     2.5";"     0.6";"     5.5";"     3.5";"   22601"
"37610";"CPI040000";"2001MM02";"   67.85";"   70.64";"     0.0";"     0.0";"     5.5";"     3.5";"   22601"
"37611";"CPI040000";"2001MM03";"   67.87";"   70.66";"     0.0";"     0.0";"     5.3";"     3.4";"   22601"
"37612";"CPI040000";"2001MM04";"   67.48";"   70.26";"    -0.6";"    -0.6";"     4.7";"     2.8";"   22601"
"37613";"CPI040000";"2001MM05";"   67.50";"   70.28";"     0.0";"     0.0";"     4.7";"     2.8";"   22601"
"37614";"CPI040000";"2001MM06";"   67.52";"   70.30";"     0.0";"     0.0";"     4.7";"     2.8";"   22601"
"37615";"CPI040000";"2001MM07";"   69.33";"   72.22";"     2.7";"     2.7";"     5.0";"     3.2";"   22601"
"37616";"CPI040000";"2001MM08";"   69.35";"   72.23";"     0.0";"     0.0";"     5.0";"     3.2";"   22601"
"37617";"CPI040000";"2001MM09";"   69.36";"   72.24";"     0.0";"     0.0";"     5.0";"     3.1";"   22601"
"37618";"CPI040000";"2001MM10";"   69.29";"   72.17";"    -0.1";"    -0.1";"     4.8";"     2.9";"   22601"
"37619";"CPI040000";"2001MM11";"   69.30";"   72.18";"     0.0";"     0.0";"     4.7";"     2.9";"   22601"
"37620";"CPI040000";"2001MM12";"   69.31";"   72.19";"     0.0";"     0.0";"     4.7";"     2.9";"   22601"
"37621";"CPI040000";"2001JJ00";"   68.50";"   71.33";"";"";"     5.0";"     3.1";"   22601"
"37622";"CPI040000";"2002MM01";"   69.89";"   72.49";"     0.8";"     0.4";"     3.0";"     2.6";"   22601"
